module/name	submodule/io	submodule/name	group/name	subgroup-1/name	subgroup-2/name	subgroup-3/name 	variable/name	cpp/class	cpp/function	cpp/parameter
Contain	output	Fire	Fire Size - at resource arrival time				Fire Perimeter - at resource arrival time	SIGContainAdapter	getPerimeterAtInitialAttack
Contain	output	Fire	Resources				Number of Resources Used	SIGContainAdapter	getResourcesUsed
Contain	output	Fire	Fire Size - at resource arrival time				Fire Area - at resource arrival time	SIGContainAdapter	getFireSizeAtInitialAttack
Contain	output	Fire	Containment				Contain Status	SIGContainAdapter	getContainmentStatus
Contain	output	Fire	Containment				Contained Area	SIGContainAdapter	getFinalContainmentArea
Contain	output	Fire	Containment				Time from Report	SIGContainAdapter	getFinalTimeSinceReport	timeUnits
Contain	output	Fire	Containment				Fireline Constructed	SIGContainAdapter	getFinalFireLineLength	lengthUnits
Contain	input	Fire	Fire Size at Report				Fire Size at Report	SIGContainAdapter	setReportSize	reportSize
Contain	input	Suppression	Line Construction Offset				Line Construction Offset	SIGContainAdapter	setAttackDistance	attackDistance
Contain	input	Suppression	Tactic				Tactic	SIGContainAdapter	setTactic	tactic
Contain	input	Suppression	Resources				Resource Duration	SIGContainAdapter	addResource	duration
Contain	input	Suppression	Resources				Resource Arrival Time	SIGContainAdapter	addResource	arrival
Contain	input	Suppression	Resources				Resource Name	SIGContainAdapter	addResource	description
Contain	input	Suppression	Resources				Resource Line Production Rate	SIGContainAdapter	addResource	productionRate
Contain	input	Fire	Surface Rate of Spread (maximum)				Surface Fire Rate of Spread (maximum)	SIGContainAdapter	setReportRate	reportRate
Contain	input	Fire	Length-to-Width Ratio				Length-to-Width Ratio	SIGContainAdapter	setLwRatio	lwRatio
Surface   	output 	Special Case Fuel Models            	Chaparral                        	Dead Fuel Load                         	 From 1.0 Inches to 3.0 inches           	                       	From 1.0 Inches to 3.0 inches           	SIGSurface     	getChaparralLoadDeadOneInchToThreeInch                    	                                      	
Surface   	output 	Special Case Fuel Models            	Chaparral                        	Live Fuel Load                         	 Leaves                                  	                       	Leaves                                  	SIGSurface     	getChaparralLoadLiveLeaves                                	                                      	
Surface   	output 	Special Case Fuel Models            	Chaparral                        	Live Fuel Load                         	 Stems less than 0.25 inches             	                       	Stems less than 0.25 inches             	SIGSurface     	getChaparralLoadLiveStemsLessThanQuaterInch               	                                      	
Surface   	output 	Special Case Fuel Models            	Chaparral                        	Live Fuel Load                         	 Stems 0.25 Inches to 0.50 inches        	                       	Stems 0.25 Inches to 0.50 inches        	SIGSurface     	getChaparralLoadLiveQuarterInchToLessThanHalfInch         	                                      	
Surface   	output 	Special Case Fuel Models            	Chaparral                        	Live Fuel Load                         	 Stems 0.5 to 1.0 inches                 	                       	Stems 0.5 to 1.0 inches                 	SIGSurface     	getChaparralLoadLiveHalfInchToLessThanOneInch             	                                      	
Surface   	output 	Special Case Fuel Models            	Chaparral                        	Live Fuel Load                         	 Stems 1.0 to 3.0 inches                 	                       	Stems 1.0 to 3.0 inches                 	SIGSurface     	getChaparralLoadLiveOneInchToThreeInch                    	                                      	
Surface   	output 	Special Case Fuel Models            	Palmetto-Galberry                	Dead Fuel Load                         	 Fine: 0 to 0.25 inches                  	                       	Fine: 0 to 0.25 inches                  	SIGSurface     	getPalmettoGallberyDeadFineFuelLoad                       	                                      	
Surface   	output 	Special Case Fuel Models            	Palmetto-Galberry                	Dead Fuel Load                         	 Medium: 0.25 to 1 inches                	                       	Medium: 0.25 to 1 inches                	SIGSurface     	getPalmettoGallberyDeadMediumFuelLoad                     	                                      	
Surface   	output 	Special Case Fuel Models            	Palmetto-Galberry                	Dead Fuel Load                         	 Foliage Fuel Load: On Stem              	                       	Foliage Fuel Load: On Stem              	SIGSurface     	getPalmettoGallberyDeadFoliageLoad                        	                                      	
Surface   	output 	Special Case Fuel Models            	Palmetto-Galberry                	Live Fuel Load                         	 Leaves                                  	                       	Leaves                                  	SIGSurface     	getPalmettoGallberyLitterLoad                             	                                      	
Surface   	output 	Special Case Fuel Models            	Palmetto-Galberry                	Live Fuel Load                         	 Fine: 0 to 0.25 inches                  	                       	Fine: 0 to 0.25 inches                  	SIGSurface     	getPalmettoGallberyLiveFineFuelLoad                       	                                      	
Surface   	output 	Special Case Fuel Models            	Palmetto-Galberry                	Live Fuel Load                         	 Medium: 0.25 to 1 inches                	                       	Medium: 0.25 to 1 inches                	SIGSurface     	getPalmettoGallberyLiveMediumFuelLoad                     	                                      	
Surface   	output 	Special Case Fuel Models            	Palmetto-Galberry                	Live Fuel Load                         	 Foliage Fuel Load : On Stem             	                       	Foliage Fuel Load : On Stem             	SIGSurface     	getPalmettoGallberyLiveFoliageLoad                        	                                      	
Surface   	output 	Special Case Fuel Models            	Palmetto-Galberry                	Fuelbed                                	 Fuelbed Depth                           	                       	Fuelbed Depth                           	double Surface 	getPalmettoGallberyFuelBedDepth                           	                                      	
Surface   	output 	Spot                                	Maximum Spotting Distance        	Torching Trees                         	                                         	                       	Torching Trees                          	double Spot    	getMaxMountainousTerrainSpottingDistanceFromTorchingTrees 	                                      	
Surface   	output 	Spot                                	Maximum Spotting Distance        	Burning Pile                           	                                         	                       	Burning Pile                            	double Spot    	getMaxMountainousTerrainSpottingDistanceFromBurningPile   	                                      	
Surface   	output 	Spot                                	Maximum Spotting Distance        	Wind-Driven Surface Fire               	                                         	                       	Wind-Driven Surface Fire                	double Spot    	getMaxMountainousTerrainSpottingDistanceFromSurfaceFire   	                                      	
Surface   	output 	Spot                                	Burning Pile                     	Firebrand Height from a Burning Pile   	                                         	                       	Firebrand Height from a Burning Pile    	SIGSpot        	getMaxFirebrandHeightFromBurningPile                      	                                      	
Surface   	input  	Directions of Surface Spread & Wind 	Direction of Interest            	                                       	                                         	                       	Direction of Interest                   	SIGSurface     	setSurfaceRunInDirectionOf                                	surfaceRunInDirectionOf               	
Surface   	input  	Directions of Surface Spread & Wind 	Surface Fire Wind & Spread       	Wind Direction                         	                                         	                       	Wind Direction                          	SIGSurface     	setWindDirection                                          	windDirection                         	
Surface   	input  	Fuel Models                         	Standard                         	Fuel Model                             	                                         	                       	Fuel Model                              	SIGSurface     	setFuelModelNumber                                        	fuelModelNumber                   	
Surface   	input  	Fuel Models                         	Special Case                     	Chaparral (Upland)                     	 Total Fuel Load is...                   	                       	Chapparal Fuel Load Method              	SIGSurface     	setChaparralFuelLoadInputMode                             	fuelLoadInputMode                     	
Surface   	input  	Fuel Models                         	Special Case                     	Chaparral (Upland)                     	 Dead Load Fraction (%)                  	                       	Dead Load Fraction (%)                  	SIGSurface     	setChaparralFuelDeadLoadFraction                          	chaparralFuelDeadLoadFraction         	
Surface   	input  	Fuel Models                         	Special Case                     	Chaparral (Upland)                     	 Calculated from fuel depth and type     	 Fuel type             	Fuel type                               	SIGSurface     	setChaparralFuelType                                      	chaparralFuelType                     	
Surface   	input  	Fuel Models                         	Special Case                     	Chaparral (Upland)                     	 Calculated from fuel depth and type     	 Fuelbed Depth (ft, m) 	Fuelbed Depth (ft, m)                   	SIGSurface     	setChaparralFuelBedDepth                                  	chaparralFuelBedDepth                 	
Surface   	input  	Fuel Models                         	Special Case                     	Chaparral (Upland)                     	 Direct Fuel Load                        	 Total Fuel Load       	Total Fuel Load                         	SIGSurface     	setChaparralTotalFuelLoad                                 	chaparralTotalFuelLoad                	
Surface   	input  	Fuel Models                         	Special Case                     	Palmetto-Gallberry                     	 Age of Rough (years)                    	                       	Age of Rough (years)                    	SIGSurface     	setAgeOfRough                                             	ageOfRough                            	
Surface   	input  	Fuel Models                         	Special Case                     	Palmetto-Gallberry                     	 Understory Height (ft, m)               	                       	Understory Height (ft, m)               	SIGSurface     	setHeightOfUnderstory                                     	heightOfUnderstory                    	
Surface   	input  	Fuel Models                         	Special Case                     	Palmetto-Gallberry                     	 Palmetto Coverage (%)                   	                       	Palmetto Coverage (%)                   	SIGSurface     	setPalmettoCoverage                                       	palmettoCoverage                      	
Surface   	input  	Fuel Models                         	Special Case                     	Palmetto-Gallberry                     	 Overstory Basal Area (ft 2 /ac, m2 /ha) 	                       	Overstory Basal Area (ft 2 /ac, m2 /ha) 	SIGSurface     	setOverstoryBasalArea                                     	overstoryBasalArea                    	
